date,dam,rtm
2022-01-01 00:00:00,33.41,64.36
2022-01-01 01:00:00,25.22,32.44
2022-01-01 02:00:00,22.91,25.54
2022-01-01 03:00:00,18.41,22.41
2022-01-01 04:00:00,12.19,15.94
2022-01-01 05:00:00,14.92,13.52
2022-01-01 06:00:00,16,11.48
2022-01-01 07:00:00,17,11.19
2022-01-01 08:00:00,17.39,10.27
2022-01-01 09:00:00,18.63,1.35
2022-01-01 10:00:00,20.86,21.59
2022-01-01 11:00:00,24.44,22.67
2022-01-01 12:00:00,25.02,24.69
2022-01-01 13:00:00,25.88,25.99
2022-01-01 14:00:00,25.28,26.43
2022-01-01 15:00:00,23.59,24.53
2022-01-01 16:00:00,29,21.49
2022-01-01 17:00:00,41.49,21.91
2022-01-01 18:00:00,29.11,22.31
2022-01-01 19:00:00,26.11,22.29
2022-01-01 20:00:00,23.36,22.19
2022-01-01 21:00:00,23.29,22.11
2022-01-01 22:00:00,24.38,20.05
2022-01-01 23:00:00,23.79,17.37
2022-01-02 00:00:00,26.63,6.88
2022-01-02 01:00:00,24.79,8.12
2022-01-02 02:00:00,23.85,7.54
2022-01-02 03:00:00,22.81,11.51
2022-01-02 04:00:00,23.59,13.93
2022-01-02 05:00:00,25.76,21.98
2022-01-02 06:00:00,30.29,22.56
2022-01-02 07:00:00,38.11,22.97
2022-01-02 08:00:00,46.77,23.45
2022-01-02 09:00:00,37.65,23.17
2022-01-02 10:00:00,35.47,24.97
2022-01-02 11:00:00,35,26.82
2022-01-02 12:00:00,31.33,22.92
2022-01-02 13:00:00,27.45,22.22
2022-01-02 14:00:00,26.33,20.36
2022-01-02 15:00:00,25.84,19.64
2022-01-02 16:00:00,31.4,22.52
2022-01-02 17:00:00,84.63,35.22
2022-01-02 18:00:00,98.07,37.74
2022-01-02 19:00:00,72.65,38.02
2022-01-02 20:00:00,62.24,37.8
2022-01-02 21:00:00,48.31,37.02
2022-01-02 22:00:00,39.26,34.41
2022-01-02 23:00:00,36.75,34.81
2022-01-03 00:00:00,31.01,34.98
2022-01-03 01:00:00,30.45,34.90
2022-01-03 02:00:00,30.03,35.66
2022-01-03 03:00:00,29.65,36.35
2022-01-03 04:00:00,31.03,37.07
2022-01-03 05:00:00,40.43,37.36
2022-01-03 06:00:00,96.58,54.91
2022-01-03 07:00:00,101.16,51.68
2022-01-03 08:00:00,47.62,34.86
2022-01-03 09:00:00,34.68,26.47
2022-01-03 10:00:00,29.38,26.26
2022-01-03 11:00:00,27.53,23.57
2022-01-03 12:00:00,26.67,22.61
2022-01-03 13:00:00,25.13,21.04
2022-01-03 14:00:00,24.17,18.52
2022-01-03 15:00:00,23.2,17.44
2022-01-03 16:00:00,26.79,20.93
2022-01-03 17:00:00,47.05,26.75
2022-01-03 18:00:00,35.37,24.84
2022-01-03 19:00:00,30.99,22.73
2022-01-03 20:00:00,30.81,22.03
2022-01-03 21:00:00,29.05,20.03
2022-01-03 22:00:00,27.02,19.69
2022-01-03 23:00:00,24.4,19.08
2022-01-04 00:00:00,19.48,21.99
2022-01-04 01:00:00,18.15,22.18
2022-01-04 02:00:00,19.11,22.20
